SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
9634,"1270","2","Creator","","2005","Trial Size Bag (Chromika Promotion)",,16,0,,,,"https://images.brickset.com/sets/images/1270-2.jpg",22,59
5222,"3193","1","Clikits","","2005","Fun Friends Frame",,14,,,,,"https://images.brickset.com/sets/images/3193-1.jpg",16,20
4778,"3292","1","Duplo","Bob the Builder","2005","Dizzy's Bridge Set",1,20,4.99,,,,"https://images.brickset.com/sets/images/3292-1.jpg",96,31
4779,"3293","1","Duplo","Bob the Builder","2005","Benny's Dig Set",,19,7.99,10,,,"https://images.brickset.com/sets/images/3293-1.jpg",141,37
4780,"3294","1","Duplo","Bob the Builder","2005","Muck's Recycling Set",1,33,12.99,15,,,"https://images.brickset.com/sets/images/3294-1.jpg",104,34
4781,"3295","1","Duplo","Bob the Builder","2005","Roley's Road Set",1,26,12.99,15,,,"https://images.brickset.com/sets/images/3295-1.jpg",130,41
4782,"3296","1","Duplo","Bob the Builder","2005","Travis and the Mobile Caravan",1,24,17.99,20,,,"https://images.brickset.com/sets/images/3296-1.jpg",111,44
4783,"3297","1","Duplo","Bob the Builder","2005","Scoop and Lofty at the Building Yard",1,59,29.99,29.99,,,"https://images.brickset.com/sets/images/3297-1.jpg",150,40
5084,"3598","1","Creator","","2005","XXL 2000 Tube",,2000,,,,,"https://images.brickset.com/sets/images/3598-1.jpg",72,154
5183,"3599","1","Duplo","","2005","XXL 250 Tube",,250,,,,,"https://images.brickset.com/sets/images/3599-1.jpg",15,15
5180,"3600","2","Make and Create","","2005","Build Your Own House",,1200,19.99,,,,"https://images.brickset.com/sets/images/3600-2.jpg",86,130
4732,"3770","1","Duplo","Trains","2005","My First Train",1,12,7.99,9.99,,,"https://images.brickset.com/sets/images/3770-1.jpg",139,30
4733,"3771","1","Duplo","Trains","2005","Train Starter Set",2,65,34.99,49.99,,,"https://images.brickset.com/sets/images/3771-1.jpg",168,47
